;comment;date
27;Comida rica. Servicio bien salvo una camarera de pelo blanco que nos insinuó que eramos unos impacientes tras preguntarle por nuestros postres después de llevar esperando 40 minutos. Mil gracias al camarero compañero de esta señora que se disculpó por la soberbia de su compañera.;2023-11-28
28;"Es de mis sitios veggies favoritos para comer, comida deliciosa, variada y gente muy amable siempre. Ademas en un lugar super ideal para pasar el dia, vuelvo muchas veces!!🥰
Las mejores croquetas!!!";2024-01-21
29;Vinimos a tomar un café, sábado a primera hora y para tomar algo tardaron una hora en atendernos. Nos decían que nos veían pero que ya nos atenderían. Fui a la barra para preguntar a qué pasaba, y al decir buenos días, simplemente me señalaron el letrero de “no atendemos en barra”. No devolvieron ni el saludo. Sobreviven, entiendo, porque no había otra opción abierta. El peor servicio que he recibido.;2023-10-28
30;"Platos muy bien elaborados y originales. Muy sabrosos, y teniendo en cuenta que todos son vegetarianos.

Atención del personal muy buena y rápida.

Un punto en contra sería la abundancia de los platos.
Precio/calidad muy bueno.

Los platos de las fotos son para dos personas:
- gyozas
- curry amarillo
- tagliolini
- flan de dulce de leche con mascarpone
- lemon pie";2023-01-28
31;"Una muy buena opción vegetariana y vegana en Hondarribia. La comida estuvo excelente: curry verde tailandés, wok, ensalada de quinoa y tarta de aguacate y crumble.
El camarero fue muy amable y dispuesto. Una pena la chica que nos trajo la tarta, porque lo hizo con desganas y fue muy antipática. Recomiendo que mejor se quede en una parte del restaurante donde no tenga contacto con el público. No me gusta salir de casa para que una arpía me sirva una tarta! Por eso 4 y no 5 estrellas. Por lo demás: estupendo.";2021-01-28
32;"Un restaurante vegetariano con una carta variada ubicado en el puerto deportivo de Hondarribia. Fuimos a cenar un viernes (previa reserva y solo quedaba una mesa) dos personas y pedimos para compartir una croqueta de queso azul, una croqueta de brócoli al curry verde, un rollito tailandés y unos totopos con guacamole. Los totopos muy buenos y la croqueta de brócoli muy exótica y con sabor intenso.
De plato principal, un curry rojo con salsa de cacahuete y leche de coco acompañado de fideos de arroz sin gluten (para celíacos) y una ensalada de burrata, tomate, mango y pesto sin gluten también.
Todo muy rico.
De postre un alfajor de dulce de leche y maicena (muy grande) y un flan de dulce de leche con queso mascarpone.
Todo estupendo y precios adecuados.
Bueno opción para celiacos";2022-01-28
33;La comida increíble y la atención estupenda. Sus cervezas artesanales muy recomendadas. En definitiva, un lugar para comer y descansar totalmente recomendable, tanto como por sus maravillosas vistas,  por la calidad precio y por su deliciosa salsa de curry verde, que de verdad no desmerece y hay que probar🤤…;2021-01-28
34;"Restaurante vegetariano con muchas opciones tanto de desayuno como de carta para comer o cenar.

Los platos son grandes asi que se pueden compartir para probar diferentes cosas.

Pedimos la ensalada, curry thai y pasta con setas. De postre brownie y lemon pie, todo muy rico en un entorno muy agradable.";2023-01-28
35;Comida riquísima, lo que más nos gustó fueron las albóndigas y el curry verde pero todos los platos estaban buenos. La terraza es bastante tranquila y hay espacio entre mesas, se nota que le prestan atención a eso. El único punto en contra fue la espera para la cuenta pero el resto lo compensa de sobra.;2023-09-28
36;"Los totopos estaban muy duros y tardaron por un error cerca de 40 minutos en servirlo, pero después no nos los cobraron como cortesía. Nada que reprochar.
Comida vegetariana de calidad y un trato cercano y amable. Hemos comido muy a gusto 👍🏻…";2021-01-28
37;"Un lugar muy especial para disfrutar de auténtica gastronomía vegetariana, hecho todo con mucho mimo.
Está siempre al completo así que os animo a hacer vuestras reservas con tiempo o a aprovechar los días de sol para poder coger mesa en su terraza del náutico dónde no se necesita reserva.
Felicidades por vuestro trabajo y crecimiento!! Que sigáis así Curry Verde!";2019-01-28
38;Todo muy bueno, los camareros muy simpáticos y la terraza estupenda. El único pero que podría sacarle es que hay pocas opciones veganas.;2023-01-28
39;He ido un par de veces a comer y a desayunar y muy bueno, todo lo que he probado me ha gustado. Se nota que son productos de buena calidad y el trato ni se diga, todos muy majos. Encima puedes entrar con perros 🥰;2023-01-28
40;Vegetariano recomendable para los que les gusta comer saludable y de cocina elaborada. Se echa de menos un menú diario, por lo de más la carta ofrece muchas posibilidades de elección. Trato muy agradable, facilidad para aparcar y con terraza perfecta para el buen tiempo. Las cantidades un poco justas por poner un pero. De 15 a 20€ persona;2018-01-28
41;"Se han negado a servirme un bocadillo para llevar alegando q debo estar sentado. Mision imposible porque  todas las mesas estaban ocupadas. Tambien en barra se negaban a atender. Vergonzoso. La dictadura de algunos hosteleros.
No volvere.";2023-10-28
42;La comida bastante bien. Los platos no son nada elaborados, ensaladas, guacamole, curry (vegetales con salsa curry), el sabor bueno pero algo pasado de precios para lo que realmente es. El servicio es bastante lento, y nos ha tocado una camarera con poco empatía, y nada de buen trato.;2023-10-28
43;"Tienen una amplia variedad de opciones veganas (también aptas a vegetarianos, además de tener también opciones únicamente vegetarianas) y la verdad que ""los tacos"" me sorprendieron de manera inesperada con la piña.

A diferencia de la croqueta de broccoli, la Samosa no me sorprendió tanto.

El sitio es enorme y con amplia terraza, pero al ser tan grande, el servicio me pareció un poco lento, pero recalcó que es un sitio de 10 para cenar, ojalá saquen más opciones para ir probando. Los precios son bastante asequibles.";2020-01-28
44;Solo tomamos café. Estaba muy bueno, además tenían un par de bizcochos veganos. El camarero simpático. Sitio amplio en pleno puerto. Precio normal.;2023-01-28
45;Restaurante vegetariano con vistas al puerto deportivo de Hondarribia. Antes estaba en el barrio de la Marina. Buena comida y buen trato. Totalmente recomendable. Tambien dan desayunos con tostas y yogures de caserío. Espacio amplio para ir con coches de niños. Amplia terraza cubierta.;2018-01-28
46;Muy buen sitio para comer. Suele estar lleno así que te recomiendo que pidas mesa por teléfono y la reserves. Deja hueco para sus postres porque merecen mucho la pena. Las servilletas son de tela y el agua en jarra, no en plástico (punto extra).;2021-01-28
47;Fuimos a desayunar, y siendo vegetariano me extraño que no hubiese leche sin lactosa! Por todo los demás el desayuno estaba buenísimo!!;2023-04-28
48;"He ido muchas veces a este restaurante y siempre salgo con una sonrisa.
Todos los platos que he probado me han gustado. De la carta actual destacaría la hamburguesa de remolacha, el curry verde. La lemon pie está INCREÍBLE!!
La atención como siempre super amable.
Espero volver muchas veces más.";2023-04-28
49;Todo muy rico  ha sido un acierto el comer en este sitio la buger de setas increible jugosa tierna en pan era de mollete la combinacion un 10 y el bizcocho de zanahoria espectacular aademas un punto a su favor es que el agua es gratis;2022-01-28
50;"Comida vegetariana/vegana rica, quizá algo caro para lo que es.

Una pena que no podamos acudir en otoño/invierno por el frío ya que NO ACEPTAN MASCOTAS en el interior. Creo que este sería un punto de mejora ya que somos muchos los que acudimos frecuentemente con mascota a la terraza.";2023-10-28
51;Buena calidad precio. El personal es muy amable y te recomienda platos. Admiten perros y les ponen su cuenco para beber. Muy recomendable.;2023-08-28
52;"Excelente atención.
Vistas muy agradables al puerto deportivo.
Muy bien para ir con niños.
Se puede ir en coche y aparcar fácilmente.
Tienen acceso para minusválidos.
La carta tiene múltiples posibilidades para veganos y vegetarianos. Todo delicioso.";2020-01-28
53;Todo genial. La comida buenísima y el trato de los camareros inmejorable. Sin duda para repetir!!!;2023-01-28
54;"Buenisimo! 100% recomendable
La ubicación en la zona del puerto y la comida insuperable, servicio y rapidez 👌🏼 Nos pedimos el arroz chaufa, la burguer de remolacha y los rollitos thai. Exquisito y la ración muy bien de tamaño. Los postres (tarta de queso y tarta vegana de chocolate y aguacate) ha sido lo unico a lo que nos ha dado tiempo a hacer foto, tambien de 10";2023-01-28
55;Hemos quedado mi familia y yo encantados. Calidad, cantidad y precio muy bien. Muy contentos. Muy recomendable.;2022-01-28
56;Lugar acogedor y comida exquisita, además del trato super agradable de los propietarios y servicio de mesas.;2023-07-28
57;La primera y no será la última vez que venga. Todo muy bueno y bien presentado. Las croquetas super ricas de puerros y emmental y otra de queso azul, una ensalada de temperatura con muchos sabores( granada, naranja, manzana nueces, patatas, lechuga, aguacate...), Un plato de puchero marroquí, harira, muy rico.y los platos principales son una buena ración, curry de verduras con arroz y ya os de heura. El curry espectacular y es taco muy jugoso con el tomate. Para acabar un petit Suis que hacen ellos sin harina, ni lácteos ni azucar y tiramisú que estaba fuera de carta, los dos muy ricos.;2019-01-28
58;He pedido un poke para llevar por 10.20. Me han cobrado el cubierto y la servilleta 0.50, no me parece correcto, debería ser un servicio. Al abrir la bolsa me he encontrado con un poke que parece un pintxo, muy muy poca cantidad, bueno pero muy escaso.El servicio muy bien y la comida muy buena.;2024-01-07
59;Llegamos a 3 minutos de cerrar la cocina y el chico que nos atendió fue encantador y muy diligente. Nos recomendó 3 platos, los marchó y nos encantaron. Un profesional, es difícil encontrar camareros así.;2023-09-28
60;Un excelente lugar adecuado tanto para veganos como vegetarianos.Hay q elegir menú entre diferentes platos pero la comida es de muy buena calidad.Buen servicio y trato agradable.;2023-11-28
61;Es uno de nuestros restaurantes favoritos, en el hemos vivido momentos inolvidables. Es un lugar con un encanto especial dónde te puedes tomar algo, picotear o comer en un ambiente tranquilo. Siempre que podemos, llevamos a nuestros amigos y familiares a que prueben esos platos tan ricos que elaboran. Además, Enara y Xabi siempre han llevado el restaurante con mucho mimo y cariño. Eso se nota! Os deseamos mucha suerte y que el Curry Verde siga estando en nuestras vidas por mucho tiempo!;2020-01-28
62;Mi vegetariano favorito, no voy tanto como me gustaría, buena atención, buena comida y cada temporada variaciones en el menú;2022-01-28
63;Estaba todo muy bueno aunque la ensalada de arroz nos salió bastante salada por lo demás bastante bien;2023-01-28
